id,type,route_access_score,route_degree,travel_cost_to_nearest_market_town,travel_cost_to_nearest_county_seat,travel_cost_to_nearest_bishop_seat,nearest_trunk_route_distance
manor_hx_37487,ordinary,0.2206,4,38.96,38.96,38.96,0
manor_hx_37492,ordinary,0.3134,5,32.04,32.04,32.04,0
manor_hx_37526,ordinary,0.3873,12,12.456,12.456,12.456,0
manor_hx_37547,ordinary,0.2388,6,30.97,30.97,31.832,0
manor_hx_37554,ordinary,0.2189,5,19.898,19.898,35.644,0
manor_hx_37568,ordinary,0.3811,6,10.21,10.21,15.224,0
manor_hx_37573,ordinary,0.4612,4,9.688,9.688,9.688,0
manor_hx_37578,elite_complex,0.5124,4,8.304,8.304,8.304,0
manor_hx_37580,ordinary,0.5124,6,9.688,9.688,9.688,0
manor_hx_37779,elite_complex,0.4164,4,16.364,16.364,16.364,0
manor_hx_37798,elite_complex,0.6832,4,0,0,0,0
manor_hx_37800,elite_complex,0.5978,4,2.768,2.768,2.768,0
manor_hx_37803,ordinary,0.4697,8,6.92,6.92,6.92,0
manor_hx_37816,elite_complex,0.4086,2,33.216,33.216,33.216,0
manor_hx_37819,ordinary,0.332,6,31.832,31.832,31.832,0
manor_hx_37842,ordinary,0.3388,7,12.978,12.978,26.296,0
manor_hx_37858,elite_complex,0.5637,5,6.92,6.92,6.92,0
manor_hx_38056,ordinary,0.3844,6,26.288,26.288,26.288,0
manor_hx_38085,elite_complex,0.4767,4,9.688,9.688,9.688,0
manor_hx_38126,ordinary,0.2964,6,11.594,11.594,20.76,0
manor_hx_38340,elite_complex,0.4805,4,10.94,10.94,10.94,0
manor_hx_38348,elite_complex,0.4223,3,13.214,13.214,13.214,0
manor_hx_38353,ordinary,0.5156,12,6.92,6.92,6.92,0
manor_hx_38360,ordinary,0.5978,8,2.768,2.768,2.768,0
manor_hx_38366,elite_complex,0.4469,4,11.072,11.072,11.072,0
manor_hx_38384,ordinary,0.2278,6,35.984,35.984,35.984,0
manor_hx_38391,ordinary,0.2189,4,30.97,30.97,37.368,5.536
manor_hx_38398,ordinary,0.193,4,18.514,18.514,34.26,0
manor_hx_38412,ordinary,0.4099,6,11.072,11.072,11.072,0
manor_hx_38417,ordinary,0.6662,7,4.152,4.152,4.152,0
manor_hx_38424,strategic,0.4612,3,13.286,13.286,13.286,0
manor_hx_38620,strategic,0.5125,4,9.09,9.09,9.09,0
manor_hx_38637,ordinary,0.6445,5,8.304,8.304,8.304,0
manor_hx_38658,ordinary,0.332,8,29.064,29.064,29.064,0
manor_hx_38701,ordinary,0.6662,5,4.152,4.152,4.152,0
manor_hx_38904,ordinary,0.4434,9,4.152,4.152,4.152,0
manor_hx_38910,elite_complex,0.4826,4,8.304,8.304,8.304,0
manor_hx_38917,elite_complex,0.6875,5,6.92,6.92,6.92,0
manor_hx_38918,elite_complex,0.6445,4,8.304,8.304,8.304,0
manor_hx_38925,ordinary,0.3873,7,9.688,9.688,9.688,0
manor_hx_38942,ordinary,0.3189,6,34.6,34.6,34.6,0
manor_hx_38948,ordinary,0.1822,6,37.368,37.368,38.752,0
manor_hx_38970,ordinary,0.3075,6,16.608,16.608,16.608,0
manor_hx_39188,ordinary,0.3921,5,8.826,8.826,8.826,0
manor_hx_39221,elite_complex,0.3645,4,33.216,33.216,33.216,0
manor_hx_39260,elite_complex,0.8199,5,0,0,0,0
manor_hx_39261,elite_complex,0.7687,4,1.384,1.384,1.384,0
manor_hx_39442,elite_complex,0.1077,1,84.08,84.08,84.08,0
manor_hx_39462,ordinary,0.4775,9,2.768,2.768,2.768,0
manor_hx_39463,elite_complex,0.5116,4,1.384,1.384,1.384,0
manor_hx_39475,ordinary,0.5831,7,1.384,1.384,1.384,0
manor_hx_39502,elite_complex,0.3417,4,34.6,34.6,34.6,0
manor_hx_39506,ordinary,0.2506,5,40.136,40.136,40.136,0
manor_hx_39538,ordinary,0.6662,5,4.152,4.152,4.152,0
manor_hx_39744,elite_complex,0.5457,10,0,0,0,0
manor_hx_39752,ordinary,0.5054,6,4.152,4.152,4.152,0
manor_hx_39755,elite_complex,0.622,5,0,0,0,0
manor_hx_39760,ordinary,0.5586,7,8.304,8.304,8.304,0
manor_hx_39764,ordinary,0.3867,5,9.688,9.688,9.688,0
manor_hx_39781,ordinary,0.3189,6,34.6,34.6,34.6,0
manor_hx_39815,ordinary,0.4612,7,9.688,9.688,9.688,0
manor_hx_39822,elite_complex,0.7174,4,2.768,2.768,2.768,0
manor_hx_39823,ordinary,0.6662,4,4.152,4.152,4.152,0
manor_hx_40014,elite_complex,0.1924,3,27.814,27.814,27.814,0
manor_hx_40026,ordinary,0.4775,4,2.768,2.768,2.768,0
manor_hx_40036,elite_complex,0.5831,4,1.384,1.384,1.384,0
manor_hx_40058,ordinary,0.2278,6,29.064,29.064,29.064,0
manor_hx_40070,ordinary,0.1595,5,34.6,34.6,44.288,0
manor_hx_40104,strategic,0.6149,3,6.296,6.296,6.296,0
manor_hx_40310,ordinary,0.3734,7,8.304,8.304,8.304,0
manor_hx_40312,elite_complex,0.4276,4,8.486,8.486,8.486,0
manor_hx_40328,ordinary,0.2562,5,15.224,15.224,15.224,0
manor_hx_40345,ordinary,0.2734,6,38.752,38.752,38.752,0
manor_hx_40373,ordinary,0.3396,5,12.456,12.456,15.224,5.536
manor_hx_40584,ordinary,0.4434,7,4.152,4.152,4.152,0
manor_hx_40592,elite_complex,0.4,4,10.392,10.392,10.392,0
manor_hx_40599,ordinary,0.4665,8,6.058,6.058,6.058,0
manor_hx_40658,elite_complex,0.4926,5,11.072,11.072,13.84,0
manor_hx_40660,elite_complex,0.5637,3,11.072,11.072,11.072,0
manor_hx_40661,ordinary,0.5637,6,9.688,9.688,9.688,0
manor_hx_40876,ordinary,0.4665,7,7.102,7.102,7.102,0
manor_hx_40885,ordinary,0.3438,7,14.884,14.884,14.884,0
manor_hx_40892,ordinary,0.1788,6,20.76,20.76,20.76,5.536
manor_hx_40902,ordinary,0.2278,6,34.6,34.6,34.6,0
manor_hx_40909,ordinary,0.1822,5,37.368,37.368,44.288,0
manor_hx_40916,ordinary,0.0908,24,26.296,26.296,41.52,5.536
manor_hx_40938,ordinary,0.4618,5,9.688,9.688,15.224,0
manor_hx_41149,ordinary,0.3752,6,8.304,8.304,8.304,0
manor_hx_41179,ordinary,0.1595,6,30.448,30.448,30.448,5.536
manor_hx_41193,ordinary,0.0911,4,31.832,31.832,47.056,0
manor_hx_41223,strategic,0.4612,3,13.216,13.216,13.216,0
manor_hx_41414,ordinary,0.1247,5,36.774,36.774,36.774,0
manor_hx_41434,ordinary,0.3499,6,13.16,13.16,13.16,0
manor_hx_41443,ordinary,0.311,5,13.682,13.682,13.682,0
manor_hx_41449,ordinary,0.1719,6,20.42,20.42,20.42,0
manor_hx_41466,ordinary,0.1822,6,40.136,40.136,40.136,0
manor_hx_41495,ordinary,0.5337,6,6.92,6.92,20.76,5.536
manor_hx_41720,ordinary,0.3499,5,13.16,13.16,13.16,0
manor_hx_41782,ordinary,0.4367,5,9.688,9.688,18.128,0
manor_hx_41986,strategic,0.2728,5,11.072,11.072,11.072,0
manor_hx_42007,ordinary,0.2148,6,20.942,20.942,20.942,0
manor_hx_42013,ordinary,0.0596,6,25.956,25.956,25.956,5.536
manor_hx_42024,ordinary,0.1367,6,37.368,37.368,37.368,0
manor_hx_42031,ordinary,0.1367,6,38.752,38.752,47.056,0
manor_hx_42053,ordinary,0.4852,4,8.304,8.304,26.296,5.536
manor_hx_42059,ordinary,0.6307,6,4.152,4.152,20.76,0
manor_hx_42272,ordinary,0.24,6,13.84,13.84,13.84,0
manor_hx_42278,ordinary,0.2721,5,14.544,14.544,14.544,0
manor_hx_42315,ordinary,0.0681,4,34.6,34.6,49.824,0
manor_hx_42548,ordinary,0.2046,4,13.84,13.84,13.84,0
manor_hx_42565,ordinary,0.2333,5,19.74,19.74,19.74,0
manor_hx_42571,ordinary,0.0859,6,25.956,25.956,25.956,0
manor_hx_42588,ordinary,0.0911,6,42.904,42.904,42.904,0
manor_hx_42617,ordinary,0.6793,7,2.768,2.768,26.296,0
manor_hx_42619,elite_complex,0.7278,4,1.384,1.384,23.528,0
manor_hx_42836,ordinary,0.1944,5,19.376,19.376,19.376,0
manor_hx_42842,ordinary,0.1944,4,18.696,18.696,18.696,0
manor_hx_42890,ordinary,0.3396,4,15.224,15.224,40.136,0
manor_hx_42899,elite_complex,0.7763,7,0,0,24.912,0
manor_hx_42904,strategic,0.5337,3,10.576,10.576,28.704,0
manor_hx_43129,ordinary,0.0777,6,25.276,25.276,25.276,0
manor_hx_43135,ordinary,0.0125,5,31.492,31.492,31.492,5.536
manor_hx_43146,ordinary,0.0456,6,42.904,42.904,42.904,5.536
manor_hx_43152,ordinary,0.0456,6,42.904,42.904,48.44,5.536
manor_hx_43168,elite_complex,0.3632,4,13.84,13.84,44.288,0
manor_hx_43180,elite_complex,0.7278,3,1.384,1.384,26.296,0
manor_hx_43400,ordinary,0.1333,5,20.08,20.08,20.08,5.536
manor_hx_43421,ordinary,0.0228,8,37.028,37.028,37.028,0
manor_hx_43448,ordinary,0.3405,5,13.84,13.84,45.672,0
manor_hx_43686,ordinary,0.0777,6,24.232,24.232,24.232,0
manor_hx_43693,ordinary,0.0094,5,30.812,30.812,30.812,0
manor_hx_43710,ordinary,0.0109,5,40.136,40.136,48.44,5.536
manor_hx_43734,ordinary,0.3881,6,12.456,12.456,34.6,0
manor_hx_43741,ordinary,0.6307,6,4.152,4.152,29.064,0
manor_hx_44018,ordinary,0.5337,5,9.688,9.688,33.216,0
manor_hx_44023,strategic,0.5822,3,6.296,6.296,31.208,0
manor_hx_44250,ordinary,0.0661,6,29.768,29.768,29.768,5.536
manor_hx_44263,elite_complex,0.025,4,41.18,41.18,41.18,0
manor_hx_44265,ordinary,0.0219,6,42.564,42.564,42.564,0
manor_hx_44292,ordinary,0.4189,8,8.304,8.304,40.136,0
manor_hx_44294,elite_complex,0.3909,4,9.688,9.688,37.368,0
manor_hx_44542,ordinary,0.0219,6,41.18,41.18,41.18,0
manor_hx_44544,elite_complex,0.0234,4,42.564,42.564,42.564,0
manor_hx_44549,ordinary,0.0156,6,40.136,40.136,48.1,0
manor_hx_44573,elite_complex,0.4468,5,6.92,6.92,40.136,0
manor_hx_44833,ordinary,0.0094,6,34.6,34.6,53.636,0
manor_hx_44850,ordinary,0.4028,6,6.92,6.92,45.672,0
manor_hx_44857,ordinary,0.3628,6,12.456,12.456,38.752,0
manor_hx_44862,ordinary,0.4367,5,9.688,9.688,34.6,0
manor_hx_45388,ordinary,0.0172,6,40.136,40.136,48.1,0
manor_hx_45415,ordinary,0.4838,7,4.152,4.152,44.288,0
manor_hx_45423,strategic,0.4233,3,13.216,13.216,38.128,0
manor_hx_45621,ordinary,0,2,53.804,53.804,53.804,37.482
manor_hx_45661,ordinary,0.0661,8,41.884,41.884,41.884,0
manor_hx_45665,ordinary,0.0172,5,45.672,45.672,46.716,0
manor_hx_45672,ordinary,0.0109,6,34.6,34.6,53.636,0
manor_hx_45689,ordinary,0.3692,5,6.92,6.92,51.208,0
manor_hx_45701,ordinary,0.5442,5,15.224,15.224,40.136,0
manor_hx_45956,ordinary,0.0047,6,29.064,29.064,59.172,0
manor_hx_45973,ordinary,0.5034,6,1.384,1.384,48.44,0
manor_hx_45974,elite_complex,0.537,7,0,0,47.056,0
manor_hx_45975,elite_complex,0.5442,3,1.384,1.384,47.056,0
manor_hx_46259,ordinary,0.6652,6,6.92,6.92,47.76,0
manor_hx_46509,ordinary,0.0125,6,42.904,42.904,52.252,0
manor_hx_46528,ordinary,0.2685,4,12.456,12.456,56.744,5.536
manor_hx_46535,elite_complex,0.5442,5,2.768,2.768,49.824,0
manor_hx_46786,ordinary,0.0331,5,48.44,48.44,48.804,0
manor_hx_46793,ordinary,0.0094,4,38.752,38.752,57.788,0
manor_hx_47077,ordinary,0.0188,5,33.216,33.216,63.324,5.536
manor_hx_47098,ordinary,0.7256,6,5.536,5.536,52.592,0
manor_hx_47103,ordinary,0.7861,6,11.072,11.072,47.192,0
manor_hx_47375,ordinary,0.5442,7,6.92,6.92,53.976,0
manor_hx_47630,ordinary,0.0342,5,44.288,44.288,54.34,0
manor_hx_47651,ordinary,0.3125,7,13.84,13.84,60.896,0
manor_hx_47652,elite_complex,0.3628,3,12.456,12.456,59.512,0
manor_hx_47653,elite_complex,0.4233,4,11.072,11.072,58.128,0
manor_hx_47661,strategic,0.907,4,6.92,6.92,52.728,0
manor_hx_47662,elite_complex,0.9675,6,6.92,6.92,51.344,0
manor_hx_47663,elite_complex,0.907,4,8.304,8.304,49.96,0
manor_hx_47666,strategic,0.7256,4,13.216,13.216,52.104,0
manor_hx_47879,elite_complex,0.3202,2,71.968,71.968,71.968,0
manor_hx_47880,elite_complex,0.3415,3,70.584,70.584,70.584,0
manor_hx_47907,ordinary,0.1323,5,48.44,48.44,52.956,5.536
manor_hx_47914,ordinary,0.0456,6,38.752,38.752,59.876,5.536
manor_hx_47942,ordinary,0.907,8,5.536,5.536,52.728,0
manor_hx_48176,elite_complex,0.529,2,51.208,51.208,53.976,0
manor_hx_48208,ordinary,0.2194,6,20.76,20.76,65.048,0
manor_hx_48450,elite_complex,0.4903,2,56.744,56.744,56.744,0
manor_hx_48465,ordinary,0.2314,5,47.056,47.056,55.724,5.536
manor_hx_48498,ordinary,0.5959,7,6.92,6.92,59.512,0
manor_hx_48725,elite_complex,0.4206,2,63.664,63.664,63.664,0
manor_hx_48731,elite_complex,0.4597,2,55.36,55.36,55.36,0
manor_hx_48742,ordinary,0.3306,6,48.44,48.44,57.108,0
manor_hx_48775,ordinary,0.5625,6,12.456,12.456,65.048,0
manor_hx_49019,ordinary,0.4298,6,47.056,47.056,53.296,0
manor_hx_49029,ordinary,0.1303,7,42.904,42.904,58.492,5.536
manor_hx_49062,elite_complex,0.8125,3,1.384,1.384,58.264,0
manor_hx_49063,elite_complex,0.8667,8,0,0,58.264,0
manor_hx_49066,strategic,0.7123,4,4.912,4.912,59.024,0
manor_hx_49296,ordinary,0.3968,15,48.44,48.44,48.44,0
manor_hx_49332,ordinary,0.4389,6,15.224,15.224,69.2,0
manor_hx_49345,ordinary,0.7584,3,2.768,2.768,61.032,0
manor_hx_49581,elite_complex,0.3637,5,44.288,44.288,56.064,0
manor_hx_49587,ordinary,0.2171,5,41.52,41.52,61.26,0
manor_hx_49608,ordinary,0.3284,5,17.992,17.992,71.968,0
manor_hx_49619,ordinary,0.75,6,8.304,8.304,65.048,0
manor_hx_49862,elite_complex,0.3306,4,42.904,42.904,57.448,0
manor_hx_49864,ordinary,0.2823,6,42.904,42.904,60.216,0
manor_hx_50141,ordinary,0.304,9,42.904,42.904,55.36,0
manor_hx_50176,ordinary,0.625,5,9.688,9.688,71.968,0
manor_hx_50182,elite_complex,0.875,4,6.92,6.92,65.184,0
manor_hx_50418,ordinary,0.2645,3,48.44,48.44,53.976,5.536
manor_hx_50431,ordinary,0.1482,6,35.984,35.984,65.412,0
manor_hx_50452,ordinary,0.4926,5,12.456,12.456,74.736,0
manor_hx_50460,strategic,0.875,4,11.208,11.208,69.2,0
manor_hx_50467,strategic,0.625,3,9.2,9.2,67.464,0
manor_hx_50728,ordinary,0.3284,7,19.376,19.376,77.504,5.536
manor_hx_50742,elite_complex,1,5,9.688,9.688,67.952,0
manor_hx_50985,ordinary,0.2388,6,37.368,37.368,60.896,0
manor_hx_51023,ordinary,0.9375,5,9.688,9.688,67.952,0
manor_hx_51262,ordinary,0.2171,5,41.52,41.52,60.896,0
manor_hx_51273,elite_complex,0.171,4,31.832,31.832,69.564,0
manor_hx_51274,elite_complex,0.1824,4,31.832,31.832,69.564,0
manor_hx_51275,ordinary,0.171,6,31.832,31.832,69.564,0
manor_hx_51296,ordinary,0.6583,4,6.92,6.92,80.272,0
manor_hx_51305,strategic,0.8125,2,13.216,13.216,71.48,0
manor_hx_51539,ordinary,0.1532,4,47.056,47.056,59.512,5.536
manor_hx_51552,ordinary,0.1482,5,31.832,31.832,70.948,0
manor_hx_51572,ordinary,0.5474,5,13.84,13.84,80.272,0
manor_hx_51580,elite_complex,0.8777,1,1.384,1.384,80.544,0
manor_hx_51829,ordinary,0.1737,5,31.832,31.832,66.432,0
manor_hx_51861,elite_complex,0.8782,9,0,0,79.16,0
manor_hx_52106,ordinary,0.152,6,35.984,35.984,66.432,0
manor_hx_52142,elite_complex,0.9368,4,2.144,2.144,77.016,0
manor_hx_52143,strategic,0.8782,4,5.048,5.048,79.92,0
manor_hx_52383,ordinary,0.1303,4,41.52,41.52,65.048,5.536
manor_hx_52396,ordinary,0.1368,8,26.296,26.296,75.1,0
manor_hx_52408,elite_complex,0.4252,4,15.224,15.224,85.808,0
manor_hx_52416,ordinary,0.7663,7,9.688,9.688,85.808,0
manor_hx_52418,elite_complex,0.8758,4,6.92,6.92,86.08,0
manor_hx_52420,ordinary,0.7663,4,4.152,4.152,83.312,0
manor_hx_52673,ordinary,0.114,5,26.296,26.296,71.968,0
manor_hx_52689,elite_complex,0.4535,2,13.84,13.84,87.192,0
manor_hx_52693,ordinary,0.5981,4,8.304,8.304,85.808,5.536
manor_hx_52950,ordinary,0.0868,5,30.448,30.448,71.968,0
manor_hx_53227,ordinary,0.0651,3,35.984,35.984,70.584,5.536
manor_hx_53261,strategic,0.7116,6,9.064,9.064,88.224,0
manor_hx_53517,ordinary,0.0912,5,20.76,20.76,77.504,5.536
manor_hx_53813,ordinary,0.5981,7,8.304,8.304,91.344,0
manor_hx_53817,ordinary,0.8373,5,2.768,2.768,91.344,0
manor_hx_54090,ordinary,0.5259,9,11.072,11.072,94.112,0
manor_hx_54094,elite_complex,0.6579,3,8.304,8.304,92.728,0
manor_hx_54101,ordinary,0.7775,5,4.152,4.152,94.112,0
manor_hx_54379,elite_complex,0.9569,7,0,0,94.112,0
manor_hx_54659,elite_complex,0.8971,4,1.384,1.384,95.496,0
manor_hx_54660,elite_complex,0.8971,3,1.384,1.384,95.496,0
manor_hx_54663,strategic,0.7177,4,7.816,7.816,99.16,0
manor_hx_54937,ordinary,0.7177,7,5.536,5.536,96.88,0
manor_hx_55208,ordinary,0.6103,5,5.536,5.536,92.728,5.536
manor_hx_55214,ordinary,0.7171,5,8.304,8.304,99.648,0
manor_hx_55221,ordinary,0.7775,4,4.152,4.152,98.264,0
manor_hx_55495,elite_complex,0.7649,4,9.688,9.688,101.032,0
manor_hx_55772,ordinary,0.712,5,2.768,2.768,98.264,0
manor_hx_55776,elite_complex,0.7171,6,8.304,8.304,102.416,0
manor_hx_56058,ordinary,0.6215,7,9.688,9.688,102.416,0
manor_hx_56332,elite_complex,0.8137,8,0,0,98.264,0
manor_hx_56338,strategic,0.6215,3,9.064,9.064,104.56,0
manor_hx_56611,ordinary,0.712,4,2.768,2.768,99.648,0
manor_hx_56612,elite_complex,0.7628,5,1.384,1.384,99.648,0
manor_hx_56613,elite_complex,0.7628,3,1.384,1.384,99.648,0
manor_hx_57175,strategic,0.6611,4,4.912,4.912,103.176,0
manor_hx_57734,ordinary,0.5594,3,6.92,6.92,105.184,5.536
