site_id,hex_id,assigned_roles,county_id,market_town_score,county_seat_score,royal_seat_score,royal_castle_score,bishop_seat_score,abbey_site_score,baronial_seat_score,route_centrality_score,crossing_score,defensibility_score,lordship_attraction_score
manor_hx_33886,hx_33886,baronial_seat,c_2,1,0.9625,0.7173,0.2954,1,0.8141,0.8432,0.6098,0,0.08,0.5157
manor_hx_33900,hx_33900,abbey_site,c_14,0.9147,0.8652,0.6481,0.2982,0.9834,0.8433,0.7806,0.4485,0,0.08,0.5279
manor_hx_33915,hx_33915,abbey_site,c_4,0.664,0.6676,0.5236,0.3159,0.7309,0.7234,0.5699,0.4375,0,0.1133,0.5068
manor_hx_34157,hx_34157,abbey_site,c_2,0.8143,0.8163,0.6126,0.3296,0.907,0.8551,0.7332,0.3605,0.1538,0.1133,0.5171
manor_hx_34181,hx_34181,baronial_seat,c_14,0.8163,0.7495,0.584,0.3008,0.8119,0.7145,0.6351,0.4205,0,0.08,0.5317
manor_hx_34201,hx_34201,baronial_seat,c_4,0.8981,0.901,0.6883,0.3676,0.9962,0.8844,0.7883,0.5175,0.1793,0.0967,0.5672
manor_hx_34404,hx_34404,baronial_seat,c_10,0.8855,0.8126,0.6126,0.2687,0.9245,0.772,0.7497,0.4227,0,0.08,0.4858
manor_hx_34437,hx_34437,baronial_seat,c_2,0.6756,0.6549,0.512,0.3027,0.7161,0.7364,0.5734,0.3646,0,0.13,0.4975
manor_hx_34476,hx_34476,baronial_seat,c_4,0.7167,0.6905,0.5438,0.3109,0.7518,0.7275,0.5944,0.4375,0,0.1133,0.5143
manor_hx_34487,hx_34487,county_seat|county_castle|bishop_seat|market_town,c_4,1,1,0.7644,0.3813,1,0.9126,0.892,0.6419,0.1889,0.08,0.5968
manor_hx_34488,hx_34488,baronial_seat,c_4,0.909,0.8899,0.7138,0.407,0.9184,0.7513,0.7211,0.6018,0.3104,0.08,0.6099
manor_hx_34491,hx_34491,,c_4,0.4521,0.5144,0.5051,0.4821,0.5032,0.62,0.4818,0.2861,0.6748,0.3367,0.5419
manor_hx_34770,hx_34770,abbey_site,c_4,0.7537,0.7249,0.626,0.4362,0.7701,0.732,0.6355,0.5215,0.4319,0.1133,0.6134
manor_hx_35003,hx_35003,county_seat|bishop_seat|market_town,c_2,1,0.9669,0.7167,0.2986,1,0.8316,0.8443,0.5834,0,0.08,0.5215
manor_hx_35283,hx_35283,baronial_seat,c_2,0.8988,0.8153,0.6381,0.2998,0.8599,0.6801,0.6708,0.5469,0,0.08,0.5244
manor_hx_35602,hx_35602,abbey_site,c_4,1,1,0.7588,0.3798,1,1,0.9088,0.6776,0,0.08,0.6259
manor_hx_35807,hx_35807,abbey_site,c_10,0.8803,0.8198,0.6076,0.2724,0.936,0.8081,0.7523,0.3529,0,0.08,0.4958
manor_hx_35821,hx_35821,abbey_site,c_0,0.7504,0.8541,0.6777,0.5101,0.8884,0.8036,0.7718,0.4447,0.4451,0.38,0.6022
manor_hx_35882,hx_35882,county_seat|market_town,c_4,0.9432,0.927,0.7145,0.3721,0.9849,0.8349,0.7299,0.6352,0,0.08,0.6174
manor_hx_35883,hx_35883,baronial_seat,c_4,0.9432,0.927,0.7145,0.3721,0.9849,0.8349,0.7299,0.6352,0,0.08,0.6174
manor_hx_36087,hx_36087,baronial_seat,c_10,0.7777,0.7021,0.5428,0.2758,0.763,0.6783,0.6059,0.3308,0,0.08,0.4998
manor_hx_36396,hx_36396,abbey_site,c_0,0.555,0.6126,0.4806,0.3226,0.6904,0.8166,0.559,0.4368,0,0.27,0.4251
manor_hx_36709,hx_36709,baronial_seat,c_14,0.7873,0.7241,0.5521,0.2867,0.7888,0.7207,0.618,0.2985,0,0.08,0.5185
manor_hx_36718,hx_36718,baronial_seat,c_3,0.8008,0.7486,0.5719,0.302,0.815,0.7465,0.6322,0.3388,0,0.08,0.5379
manor_hx_36745,hx_36745,,c_4,0.3658,0.4684,0.4753,0.6164,0.471,0.5072,0.5078,0.3518,0.5908,0.72,0.5604
manor_hx_36951,hx_36951,abbey_site,c_0,0.5374,0.5625,0.4514,0.3183,0.5949,0.7049,0.468,0.4224,0,0.27,0.4141
manor_hx_36989,hx_36989,abbey_site,c_14,0.8843,0.8379,0.6139,0.2826,0.9582,0.8485,0.7619,0.3184,0,0.08,0.5131
manor_hx_36998,hx_36998,abbey_site,c_3,0.8779,0.8396,0.6118,0.2845,0.9612,0.8651,0.7618,0.2807,0,0.08,0.5199
manor_hx_37233,hx_37233,baronial_seat,c_0,0.8269,0.8209,0.6195,0.3168,0.9246,0.8794,0.7405,0.4827,0,0.13,0.5157
manor_hx_37578,hx_37578,baronial_seat,c_4,0.8359,0.7647,0.6057,0.3094,0.8249,0.7042,0.6458,0.5124,0,0.08,0.5386
manor_hx_37779,hx_37779,baronial_seat,c_10,0.5137,0.5917,0.5001,0.4223,0.5898,0.6644,0.5048,0.4164,0.3654,0.3367,0.4721
manor_hx_37798,hx_37798,county_seat|bishop_seat|market_town,c_0,1,1,0.7456,0.3239,1,0.8578,0.8617,0.6832,0,0.08,0.5487
manor_hx_37800,hx_37800,baronial_seat,c_0,0.8455,0.7406,0.6058,0.3002,0.795,0.6279,0.6303,0.5978,0,0.08,0.5197
manor_hx_37816,hx_37816,baronial_seat,c_14,0.8877,0.7908,0.5997,0.2508,0.9014,0.7349,0.7419,0.4086,0,0.08,0.4645
manor_hx_37858,hx_37858,abbey_site,c_4,0.8947,0.8512,0.6569,0.293,0.9653,0.8378,0.7757,0.3774,0,0.08,0.5505
manor_hx_38085,hx_38085,abbey_site,c_0,0.9028,0.8206,0.6257,0.2709,0.9316,0.7609,0.7577,0.4767,0,0.08,0.4874
manor_hx_38340,hx_38340,abbey_site,c_11,0.7732,0.8805,0.6861,0.4584,0.888,0.9074,0.7276,0.4562,0.5851,0.2533,0.5268
manor_hx_38348,hx_38348,abbey_site,c_0,0.547,0.5987,0.4715,0.3422,0.6376,0.7645,0.4831,0.4223,0,0.27,0.4429
manor_hx_38366,hx_38366,baronial_seat,c_0,0.8127,0.6894,0.5541,0.2577,0.7408,0.5956,0.6056,0.4469,0,0.08,0.4717
manor_hx_38424,hx_38424,,c_4,0.4765,0.53,0.5177,0.5955,0.5568,0.5261,0.5507,0.4612,0.36,0.72,0.5789
manor_hx_38620,hx_38620,,c_11,0.6829,0.7692,0.6464,0.4907,0.7369,0.7553,0.6202,0.5125,0.7135,0.2367,0.5563
manor_hx_38910,hx_38910,baronial_seat,c_0,0.8542,0.8685,0.649,0.342,0.9791,0.95,0.7694,0.4826,0,0.13,0.5542
manor_hx_38917,hx_38917,abbey_site,c_0,1,1,0.7489,0.3336,1,0.8856,0.8767,0.6875,0,0.08,0.5645
manor_hx_38918,hx_38918,baronial_seat,c_0,0.9309,0.8597,0.6779,0.3258,0.9057,0.714,0.6976,0.6445,0,0.08,0.5559
manor_hx_39221,hx_39221,abbey_site,c_14,0.8929,0.8395,0.6213,0.283,0.958,0.8332,0.7644,0.3645,0,0.08,0.5111
manor_hx_39260,hx_39260,county_seat|county_castle|bishop_seat|market_town,c_7,1,1,0.7923,0.4114,1,0.9425,0.9354,0.8199,0.1748,0.08,0.6394
manor_hx_39261,hx_39261,baronial_seat,c_7,0.9589,0.9438,0.7688,0.4331,0.9726,0.7805,0.7623,0.7687,0.2872,0.08,0.6512
manor_hx_39442,hx_39442,baronial_seat,c_8,0.4815,0.5968,0.4987,0.4979,0.6071,0.6438,0.5884,0,0.6699,0.46,0.5194
manor_hx_39463,hx_39463,baronial_seat,c_11,0.8861,0.8638,0.6876,0.3945,0.8913,0.7403,0.7058,0.5116,0.3282,0.08,0.5944
manor_hx_39502,hx_39502,baronial_seat,c_14,0.7998,0.7278,0.5608,0.2867,0.7906,0.7066,0.6218,0.3417,0,0.08,0.5168
manor_hx_39744,hx_39744,county_seat|bishop_seat|market_town,c_11,1,1,0.7504,0.366,1,0.8997,0.8731,0.5457,0.1998,0.08,0.5784
manor_hx_39755,hx_39755,county_seat|bishop_seat|market_town,c_0,1,1,0.7467,0.3537,1,0.9603,0.8886,0.622,0,0.08,0.5959
manor_hx_39822,hx_39822,abbey_site,c_7,0.8777,0.8441,0.7177,0.4389,0.8744,0.713,0.7122,0.7174,0.3996,0.08,0.6412
manor_hx_40014,hx_40014,abbey_site,c_11,0.5129,0.6321,0.5148,0.4631,0.6293,0.7289,0.5798,0.1814,0.6608,0.37,0.4806
manor_hx_40036,hx_40036,baronial_seat,c_0,0.9261,0.889,0.686,0.3468,0.9426,0.79,0.7112,0.5831,0,0.08,0.5886
manor_hx_40104,hx_40104,,c_7,0.5573,0.5839,0.5953,0.6146,0.5862,0.5137,0.5947,0.5,0.6244,0.62,0.626
manor_hx_40312,hx_40312,abbey_site,c_0,1,1,0.7198,0.3342,1,0.9763,0.8607,0.4267,0,0.08,0.5759
manor_hx_40592,hx_40592,baronial_seat,c_11,0.8814,0.845,0.6347,0.3216,0.9011,0.789,0.6825,0.4,0,0.08,0.5633
manor_hx_40658,hx_40658,abbey_site,c_7,0.9262,0.8788,0.6621,0.3062,0.9967,0.8486,0.789,0.4926,0,0.08,0.5367
manor_hx_40660,hx_40660,baronial_seat,c_7,0.8315,0.7514,0.6276,0.3581,0.8054,0.6831,0.6513,0.5637,0.1821,0.08,0.5764
manor_hx_41223,hx_41223,,c_7,0.5727,0.5751,0.5582,0.5662,0.5883,0.5174,0.575,0.4612,0.5332,0.57,0.5803
manor_hx_41986,hx_41986,,c_11,0.5929,0.4597,0.402,0.2437,0.5386,0.5246,0.4643,0.2728,0,0.0967,0.441
manor_hx_42619,hx_42619,abbey_site,c_7,0.9491,0.9036,0.714,0.3565,0.9528,0.7623,0.7221,0.7278,0,0.08,0.593
manor_hx_42899,hx_42899,county_seat|county_castle|market_town,c_7,1,1,0.7837,0.3959,1,0.9176,0.9222,0.7763,0.1761,0.08,0.6203
manor_hx_42904,hx_42904,,c_7,0.2964,0.411,0.4358,0.5637,0.3885,0.3368,0.3929,0.3,0.4592,0.8,0.4431
manor_hx_43168,hx_43168,baronial_seat,c_7,0.8792,0.7893,0.5923,0.2506,0.9016,0.7501,0.7393,0.3632,0,0.08,0.4664
manor_hx_43180,hx_43180,baronial_seat,c_7,0.9548,0.9151,0.7479,0.4107,0.9402,0.7384,0.7475,0.7278,0.2894,0.08,0.6235
manor_hx_44023,hx_44023,,c_7,0.5389,0.5424,0.5687,0.5868,0.5398,0.4674,0.5747,0.4149,0.6291,0.62,0.6015
manor_hx_44263,hx_44263,abbey_site,c_1,0.8046,0.7355,0.5133,0.2213,0.8555,0.7925,0.6993,0.025,0,0.08,0.4432
manor_hx_44294,hx_44294,baronial_seat,c_7,0.785,0.686,0.5486,0.2878,0.7548,0.6657,0.5998,0.3909,0,0.08,0.5164
manor_hx_44544,hx_44544,baronial_seat,c_1,0.717,0.6303,0.4595,0.2289,0.6945,0.6684,0.5607,0.0234,0,0.08,0.4532
manor_hx_44573,hx_44573,abbey_site,c_7,0.9177,0.8772,0.6547,0.306,0.9969,0.8639,0.7865,0.4468,0,0.08,0.5387
manor_hx_45423,hx_45423,,c_7,0.5777,0.5738,0.555,0.5632,0.5861,0.5182,0.576,0.4233,0.5484,0.57,0.5781
manor_hx_45974,hx_45974,county_seat|market_town,c_7,1,1,0.7315,0.3304,1,0.93,0.8667,0.537,0,0.08,0.568
manor_hx_45975,hx_45975,baronial_seat,c_7,0.9098,0.8731,0.6707,0.3394,0.9268,0.783,0.7009,0.5442,0,0.08,0.5794
manor_hx_46535,hx_46535,abbey_site,c_7,0.8636,0.7854,0.626,0.3237,0.8474,0.7124,0.6546,0.5442,0,0.08,0.5582
manor_hx_47652,hx_47652,abbey_site,c_3,0.8765,0.8231,0.6119,0.2741,0.9405,0.8269,0.7555,0.3016,0,0.08,0.5107
manor_hx_47653,hx_47653,baronial_seat,c_3,0.8222,0.7433,0.5817,0.2936,0.804,0.697,0.6329,0.4233,0,0.08,0.5228
manor_hx_47661,hx_47661,,c_7,0.9991,0.9401,0.7614,0.3735,0.9849,0.7455,0.748,0.907,0,0.08,0.6084
manor_hx_47662,hx_47662,abbey_site,c_7,1,1,0.815,0.4337,1,0.9403,0.9603,0.9675,0.1905,0.08,0.6605
manor_hx_47663,hx_47663,baronial_seat,c_7,1,0.9753,0.8093,0.4486,0.9956,0.7617,0.7869,0.907,0.313,0.08,0.664
manor_hx_47666,hx_47666,,c_7,0.5358,0.5527,0.6038,0.6226,0.542,0.4688,0.5948,0.419,0.6804,0.67,0.6443
manor_hx_47879,hx_47879,baronial_seat,c_0,0.7055,0.636,0.4993,0.267,0.6922,0.6635,0.5683,0.3202,0,0.1133,0.4666
manor_hx_47880,hx_47880,abbey_site,c_0,0.8361,0.7712,0.5737,0.2522,0.8795,0.7488,0.7178,0.3415,0,0.08,0.4617
manor_hx_48176,hx_48176,baronial_seat,c_5,0.9191,0.8277,0.638,0.2727,0.9377,0.7494,0.765,0.529,0,0.08,0.4885
manor_hx_48450,hx_48450,abbey_site,c_1,0.8994,0.7943,0.6128,0.2532,0.9015,0.7112,0.7457,0.4903,0,0.08,0.4629
manor_hx_48725,hx_48725,baronial_seat,c_2,0.8859,0.7756,0.5927,0.2408,0.8838,0.705,0.735,0.4206,0,0.08,0.4502
manor_hx_48731,hx_48731,baronial_seat,c_1,0.814,0.6764,0.5487,0.2479,0.7249,0.5665,0.5997,0.4597,0,0.08,0.458
manor_hx_49062,hx_49062,baronial_seat,c_7,0.9913,0.9556,0.7775,0.4185,0.9881,0.7754,0.7681,0.8125,0.2133,0.08,0.6438
manor_hx_49063,hx_49063,county_seat|county_castle|market_town,c_7,1,1,0.8163,0.4498,1,0.9269,0.959,0.8667,0.3504,0.08,0.6637
manor_hx_49066,hx_49066,,c_7,0.7192,0.7092,0.6959,0.6412,0.6807,0.4927,0.6863,0.7123,0.7618,0.62,0.6285
manor_hx_49581,hx_49581,abbey_site,c_5,0.8884,0.835,0.6187,0.2805,0.9533,0.8315,0.762,0.3474,0,0.08,0.5109
manor_hx_49862,hx_49862,baronial_seat,c_5,0.7969,0.7244,0.5573,0.2847,0.7873,0.7052,0.6196,0.3306,0,0.08,0.5146
manor_hx_50182,hx_50182,abbey_site,c_3,0.9483,0.8991,0.7573,0.4282,0.9436,0.7472,0.7376,0.875,0.2087,0.08,0.6529
manor_hx_50460,hx_50460,,c_6,0.9305,0.885,0.728,0.3907,0.9473,0.7647,0.7145,0.875,0,0.08,0.6308
manor_hx_50467,hx_50467,,c_4,0.5321,0.5221,0.5644,0.6166,0.5139,0.3917,0.578,0.625,0.6111,0.72,0.5715
manor_hx_50742,hx_50742,baronial_seat,c_14,1,1,0.8377,0.4755,1,0.94,0.9822,1,0.3591,0.08,0.69
manor_hx_51273,hx_51273,baronial_seat,c_5,0.7491,0.6613,0.4979,0.2475,0.723,0.664,0.5811,0.171,0,0.08,0.4707
manor_hx_51274,hx_51274,abbey_site,c_5,0.8406,0.7703,0.5555,0.2418,0.8879,0.7899,0.7223,0.1824,0,0.08,0.463
manor_hx_51305,hx_51305,,c_3,0.7106,0.7208,0.7016,0.6396,0.7028,0.5135,0.6822,0.8125,0.6401,0.62,0.6337
manor_hx_51580,hx_51580,abbey_site,c_6,1,1,0.8366,0.4981,1,0.9606,0.9803,0.8777,0.4957,0.08,0.7048
manor_hx_51861,hx_51861,royal_seat|royal_castle|county_seat|market_town,c_6,0.9828,0.99,0.8505,0.5561,0.9876,0.7663,0.8278,0.8782,0.6352,0.18,0.7255
manor_hx_52142,hx_52142,royal_castle,c_14,0.8431,0.886,0.8268,0.7094,0.8502,0.614,0.787,0.9368,0.7746,0.62,0.709
manor_hx_52143,hx_52143,,c_3,0.7202,0.75,0.7341,0.6949,0.732,0.5395,0.7134,0.8782,0.6352,0.72,0.6702
manor_hx_52408,hx_52408,baronial_seat,c_6,0.805,0.6659,0.5377,0.2417,0.7145,0.5623,0.5931,0.4252,0,0.08,0.4511
manor_hx_52418,hx_52418,baronial_seat,c_6,1,1,0.8167,0.4452,1,0.9095,0.958,0.8758,0.3572,0.08,0.6567
manor_hx_52689,hx_52689,abbey_site,c_6,0.8962,0.7922,0.6069,0.251,0.901,0.7197,0.7445,0.4535,0,0.08,0.4625
manor_hx_53261,hx_53261,,c_6,0.6864,0.6597,0.672,0.6092,0.6246,0.4605,0.6641,0.5102,0.7766,0.62,0.6251
manor_hx_54094,hx_54094,baronial_seat,c_6,1,0.9912,0.7411,0.3156,1,0.8731,0.8584,0.5681,0,0.08,0.5586
manor_hx_54379,hx_54379,county_seat|county_castle|market_town,c_6,1,1,0.8139,0.4333,1,0.9335,0.9529,0.9569,0.2007,0.08,0.6567
manor_hx_54659,hx_54659,abbey_site,c_6,0.9854,0.9632,0.7898,0.4297,0.9961,0.7754,0.7704,0.8971,0.2007,0.08,0.6528
manor_hx_54660,hx_54660,baronial_seat,c_6,0.9699,0.9616,0.7991,0.4565,0.9845,0.7668,0.7758,0.8971,0.3297,0.08,0.6672
manor_hx_54663,hx_54663,,c_14,0.4996,0.5103,0.5837,0.6271,0.4916,0.4167,0.5814,0.389,0.7167,0.72,0.6301
manor_hx_55495,hx_55495,abbey_site,c_14,1,1,0.7838,0.4019,1,0.9343,0.9232,0.7649,0.1779,0.08,0.6278
manor_hx_55776,hx_55776,baronial_seat,c_3,0.935,0.9218,0.7482,0.4243,0.9503,0.7703,0.7481,0.7171,0.2922,0.08,0.6393
manor_hx_56332,hx_56332,county_seat|county_castle|market_town,c_3,1,1,0.8017,0.4155,1,0.8577,0.9291,0.8137,0.348,0.08,0.619
manor_hx_56338,hx_56338,,c_3,0.6459,0.6947,0.6406,0.5996,0.6969,0.5827,0.6396,0.6215,0.5209,0.57,0.6163
manor_hx_56612,hx_56612,abbey_site,c_6,0.9518,0.9013,0.7497,0.4132,0.9181,0.6974,0.7443,0.7628,0.348,0.08,0.6149
manor_hx_56613,hx_56613,baronial_seat,c_3,0.9582,0.9139,0.77,0.4426,0.9202,0.6968,0.7604,0.7628,0.4842,0.08,0.6351
manor_hx_57175,hx_57175,,c_6,0.6648,0.6804,0.6734,0.6506,0.6534,0.5101,0.6726,0.5642,0.7565,0.67,0.6413
