project_id,source_project_id,source_kind,temporal_bucket,manor_id,manor_label,county_id,county_label,holding_type,governing_actor_boundary,governing_actor_id,governing_actor_name,asset_surface_id,surface_key,surface_name,catalog_package_id,catalog_package_name,project_kind,action_class,cost_profile,start_year,expected_completion_year,percent_complete_1120_candidate,state_1120_candidate,condition_basis,selection_basis,candidate_accountable_owner_person_id,candidate_accountable_owner_person_name,owner_assignment_basis,source_project_disposition,source_status,economy_bridge_state,runtime_authority,uat1_display_state
impproj_step5ec_163cd5cd1b2b50,impproj_step5ec_163cd5cd1b2b50,source_project_anchor,carry_in_1116,manor_hx_43741,Manor of Falconham Hall,c_11,Glastonmere,crown_domain,crown_public,crown:actor_crown,Crown / Public Realm,estate_surface_a2a98bda1423ec45429b,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_2f7ba9a2bc9cdf99b5747bae,Thibaut Lister the Younger,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_16913c974a0ce3,impproj_step5ec_16913c974a0ce3,source_project_anchor,carry_in_1116,manor_hx_44855,Manor of Abbeymere,c_11,Glastonmere,county_domain,house,t0h_24c58310ad48b5d77d559a27,House Glastonmere,estate_surface_1262a898ec4de0e19d8b,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_3481368a494adecb394cabfb,Osmund Lister the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_1a51a0c4f010a7,impproj_step5ec_1a51a0c4f010a7,source_project_anchor,carry_in_1116,manor_hx_43172,Manor of Silvercote Court,c_11,Glastonmere,minor_lordship,house,t0h_ed31af118bada64bf4657e18,House Netfleet,estate_surface_f6725fa2403ba35ebd52,IE-008,Watch & Ward,FACILITY,Watch & Ward,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_91869ea834aac4b3d2886300,Henry Carter,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_2ffd32405d3d91,impproj_step5ec_2ffd32405d3d91,source_project_anchor,carry_in_1116,manor_hx_51284,Manor of Kingfield,c_0,Alderwick,minor_lordship,house,t0h_02a4c43e6bb70b651d492634,House Watchhurst,estate_surface_17985085b37a2d29b49b,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,moderate,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_3bd395ad5405886ee03006fb,Leofric Mason,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_3784f4f4a9cca8,impproj_step5ec_3784f4f4a9cca8,source_project_anchor,carry_in_1116,manor_hx_36925,Manor of Hithewater,c_8,Dunmere,barony,house,t0h_9089b820b874aa56656166cc,House Hithewater,estate_surface_43c0e0320d4eab6b7b4d,IE-002,Storage & Handling,EP-02,Stores & Handling,repair,repair,high,1116,1121,0.8,repairing_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_373c8b6eed0cc2ecabdec038,Fulke Clerk the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_3c6e75b67f3d47,impproj_step5ec_3c6e75b67f3d47,source_project_anchor,carry_in_1116,manor_hx_40283,Manor of Sailmere,c_8,Dunmere,church_fief,church_institution,institution:church_fief_hx_39744,Church temporal package 39744,estate_surface_4d5106d8194335d3248c,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_f347484083d6e96d99473666,Edmund Stoneford,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_400f5b02b3417e,impproj_step5ec_400f5b02b3417e,source_project_anchor,carry_in_1116,manor_hx_35878,Manor of Hernmere Hall,c_5,Orchardmere,county_domain,house,t0h_0dede5ad44da35625aac1a4e,House Orchardmere,estate_surface_8980fba9f922bf07d122,IE-005,Drainage & Ditches,FACILITY,Drainage & Ditches,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_6ed54514baff38f9b4945841,Hugh Reedmere,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_46da902ac41537,impproj_step5ec_46da902ac41537,source_project_anchor,carry_in_1116,manor_hx_38612,Manor of Flemingedge,c_8,Dunmere,minor_lordship,church_institution,institution:bishopric_dunmere,Bishopric of Dunmere,estate_surface_3ff8bf6fd236e3405206,IE-005,Drainage & Ditches,FACILITY,Drainage & Ditches,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_d52a35d89bbe0e3cdbb95c1a,Nicholas Sealer the Black,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_4a0824e66788ea,impproj_step5ec_4a0824e66788ea,source_project_anchor,carry_in_1116,manor_hx_40104,Manor of Rookgap Field,c_7,Crowmarsh,county_domain,house,t0h_ca7e0529829444b98137f4dd,House Crowmarsh,estate_surface_3d80e46c3b29c1097758,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_8a90ae9db78bcad6458008e3,Richard Atwell,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_4cb983a8893738,impproj_step5ec_4cb983a8893738,source_project_anchor,carry_in_1116,manor_hx_39442,Manor of Fleming Hythe,c_8,Dunmere,county_domain,house,t0h_56f5443f65d5e30f196d8cee,House Dunmere,estate_surface_e80ca2ecae4056de67ad,IE-002,Storage & Handling,EP-02,Stores & Handling,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_72e9a9b155ce2c7ae6e5e69b,Osmund Waxman,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_4eeb3326dd4565,impproj_step5ec_4eeb3326dd4565,source_project_anchor,carry_in_1116,manor_hx_37858,Manor of Glassmere,c_7,Crowmarsh,church_fief,church_institution,institution:church_fief_hx_37858,Church temporal package 37858,estate_surface_08a2f7803254b09bce29,IE-008,Watch & Ward,FACILITY,Watch & Ward,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_b0f06a791d3b408ce6628b4d,Herbert Longman the Red,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_51db4ccc8d2be3,impproj_step5ec_51db4ccc8d2be3,source_project_anchor,carry_in_1116,manor_hx_30260,Manor of Mardenbury,c_1,Bramholt,church_fief,church_institution,institution:church_fief_hx_30260,Church temporal package 30260,estate_surface_da6ca4eeab9a8b148f98,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_40ce8d5cf0ed878b9fa4a745,Warin Small,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_5442cad5664e73,impproj_step5ec_5442cad5664e73,source_project_anchor,carry_in_1116,manor_hx_39263,Manor of Crowminster Court,c_7,Crowmarsh,county_domain,house,t0h_ca7e0529829444b98137f4dd,House Crowmarsh,estate_surface_10d07d9cb9aab4887cee,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_aae861bca317502a23c806e7,Simon Greenwood,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_54d320bd98d783,impproj_step5ec_54d320bd98d783,source_project_anchor,carry_in_1116,manor_hx_34148,Manor of Ravenchapel,c_4,Northwych,church_fief,church_institution,institution:church_fief_hx_37798,Church temporal package 37798,estate_surface_f800421adb1fbb05d128,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_f08e796fd025d04e1012a405,Baldwin Scribner the Red,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_552bcb172266fa,impproj_step5ec_552bcb172266fa,source_project_anchor,carry_in_1116,manor_hx_27726,Manor of Elderend,c_1,Bramholt,minor_lordship,church_institution,institution:bishopric_bramholt,Bishopric of Bramholt,estate_surface_8a6e8c04a436c4b122aa,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_e7b05fa5f3044c5fad407df4,Fulk Nott,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_585fc60a9d3f13,impproj_step5ec_585fc60a9d3f13,source_project_anchor,carry_in_1116,manor_hx_33576,Manor of Crossbend,c_6,Wyrmford,minor_lordship,church_institution,institution:bishopric_wyrmford,Bishopric of Wyrmford,estate_surface_f37c0f1e9497030f1c7e,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_e7c092f735c2c158700b6862,Geoffrey Smith,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_5a0f7523122743,impproj_step5ec_5a0f7523122743,source_project_anchor,carry_in_1116,manor_hx_38095,Manor of Spearwick Hall,c_10,Falkenford,minor_lordship,house,t0h_14e6eebc915c7b3f70bd1ed2,House Landingham,estate_surface_1b717685d95925411132,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_37ca30584751bee928435b59,"Emeric Sawyer, manor bailiff reeve",source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_5affb9a958b64a,impproj_step5ec_5affb9a958b64a,source_project_anchor,carry_in_1116,manor_hx_35280,Manor of Stonebeck Hall,c_4,Northwych,county_domain,house,t0h_41f7bfca76503fa1983fe11a,House Wyrmford,estate_surface_822ca4328eb774b0f2a0,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_d839c63a72d5b62d6134681c,Thierry Shield the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_5e1c5385f980a0,impproj_step5ec_5e1c5385f980a0,source_project_anchor,carry_in_1116,manor_hx_41187,Manor of Kiteton Court,c_10,Falkenford,county_domain,house,t0h_4bb316723fc55c9f3d013891,House Falkenford,estate_surface_9f798b7af3316fba802d,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_2af2f7dd6047dfe4609e7d7b,Edward Chapman,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_62391a50fc9780,impproj_step5ec_62391a50fc9780,source_project_anchor,carry_in_1116,manor_hx_34994,Manor of Daneford,c_4,Northwych,minor_lordship,church_institution,institution:bishopric_northwych,Bishopric of Northwych,estate_surface_738d092fa81cc698d1be,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_8ba720714031ec4c835f9476,Alwin Toller,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_6566172b8cbe59,impproj_step5ec_6566172b8cbe59,source_project_anchor,carry_in_1116,manor_hx_35282,Manor of Ulfham,c_4,Northwych,county_domain,house,t0h_41f7bfca76503fa1983fe11a,House Wyrmford,estate_surface_2128858746f3b786772f,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_b5303fd8e1d79c7d4d7828c2,Reginald Toller the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_6b4dbe301b204d,impproj_step5ec_6b4dbe301b204d,source_project_anchor,carry_in_1116,manor_hx_39181,Manor of Marshbower,c_8,Dunmere,church_fief,church_institution,institution:church_fief_hx_39744,Church temporal package 39744,estate_surface_fb3e534a0b46f22b0733,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_d0be7b724b599133ed5f311f,Alan Tanner the Younger,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_7881ee26251a2c,impproj_step5ec_7881ee26251a2c,source_project_anchor,carry_in_1116,manor_hx_37798,Manor of Howebeck,c_4,Northwych,church_fief,church_institution,institution:church_fief_hx_37798,Church temporal package 37798,estate_surface_f3bc7e1515fe2a35bbd0,IE-002,Storage & Handling,EP-02,Stores & Handling,repair,repair,high,1116,1121,0.8,repairing_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_4879ac0e82f09d28bc4637cc,Isarn Chapman the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_7d485220d000b9,impproj_step5ec_7d485220d000b9,source_project_anchor,carry_in_1116,manor_hx_45062,Manor of Deepworth,c_12,Harrowfield,minor_lordship,house,t0h_9dab330fe4bd15a844ad5945,House Reedwater,estate_surface_d81117b0010381e9ab66,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_094e486ad63d68ed9083bba8,"Geoffrey Miller, manor bailiff reeve",source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_7e62178dfe08a4,impproj_step5ec_7e62178dfe08a4,source_project_anchor,carry_in_1116,manor_hx_37534,Manor of Falkenstow,c_10,Falkenford,minor_lordship,house,t0h_2f13d9f4eb652cab2e0a2c08,House Shieldham Court,estate_surface_dc2d746a2a5c77dd3f10,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,moderate,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_21aa3425d71ee50bbfd99f35,Godwin Granger,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_889eb04cd784b7,impproj_step5ec_889eb04cd784b7,source_project_anchor,carry_in_1116,manor_hx_55772,Manor of Rookridge Hall,c_14,Kestrelford,crown_domain,crown_public,crown:actor_crown,Crown / Public Realm,estate_surface_a719edcb4f8ac5fa28af,IE-002,Storage & Handling,EP-02,Stores & Handling,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_93063ff2208e70fee5097b60,Isarn Mason,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_89a6a3ff857fee,impproj_step5ec_89a6a3ff857fee,source_project_anchor,carry_in_1116,manor_hx_39255,Manor of Heronfen Court,c_7,Crowmarsh,minor_lordship,house,t0h_9da550e4f2af07e3e9aa0920,House Heronfen Court,estate_surface_47afbe879c61c0c51af7,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,moderate,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_b07d86987212f560db492d23,"Edmund Scribner, manor bailiff reeve",source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
