condition_observation_id,asset_surface_id,manor_id,manor_label,county_id,county_label,holding_type,governing_actor_boundary,governing_actor_id,governing_actor_name,surface_key,surface_name,condition_kind,condition_state,observation_cutpoint,project_link_count,project_ids,condition_basis,source_status,confidence,runtime_authority,uat1_display_state
condobs_estate_surface_ebcbdf74ec3ec6be24a2,estate_surface_ebcbdf74ec3ec6be24a2,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,under_construction,1120-01-01,1,manorop_recon_build_0135_estate_surface_ebcbdf74ec3ec6be24a2,linked_project_reconstruction_state_override,foundation_a_uat_seeded_condition_candidate,candidate_high,false,admitted_read_only_condition_posture
condobs_estate_surface_1a28783e771e6e5ec055,estate_surface_1a28783e771e6e5ec055,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,impaired,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_597e4db5a899273cc1fb,estate_surface_597e4db5a899273cc1fb,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_69489dbcf922654a1416,estate_surface_69489dbcf922654a1416,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-004,Field System & Rotation,operational_adequacy,sound,1120-01-01,1,manorop_recon_repair_0855_estate_surface_69489dbcf922654a1416,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_c039d266d89889917002,estate_surface_c039d266d89889917002,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_2deae8e5404a2c1f0fc8,estate_surface_2deae8e5404a2c1f0fc8,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_55566fed4a949d79ad04,estate_surface_55566fed4a949d79ad04,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-011,"Fishery, Harbor & Quay Works",physical_condition,repairing,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_1be5338a50ede9fd4106,estate_surface_1be5338a50ede9fd4106,manor_hx_23194,Manor of Hallowwyre,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_fe45ab8b58d374a38834,estate_surface_fe45ab8b58d374a38834,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,worn,1120-01-01,1,manorop_recon_build_0088_estate_surface_fe45ab8b58d374a38834,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_8f4525fd44348d8b27ce,estate_surface_8f4525fd44348d8b27ce,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_7edd0d32aff0d4f12a23,estate_surface_7edd0d32aff0d4f12a23,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_5c141ff186c26f6af580,estate_surface_5c141ff186c26f6af580,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_e53b9786a9ffdbef5869,estate_surface_e53b9786a9ffdbef5869,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_369f23e2e4b08dff969c,estate_surface_369f23e2e4b08dff969c,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_1bb7935d3b8795865a11,estate_surface_1bb7935d3b8795865a11,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-009,Local Access Works,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_ee0e35f8a3e92e79b328,estate_surface_ee0e35f8a3e92e79b328,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-011,"Fishery, Harbor & Quay Works",physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_f30ea2db19e101fcfeba,estate_surface_f30ea2db19e101fcfeba,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-012,Church & Parish Service Asset,physical_condition,sound,1120-01-01,1,impproj_step5ec_d091a5eed57809,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_99eb197772299d6e79e1,estate_surface_99eb197772299d6e79e1,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_43c4af406fe0b5ce107f,estate_surface_43c4af406fe0b5ce107f,manor_hx_23483,Manor of Reedpriory,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-018,Special Estate Assets,context_only,context_only_unknown,1120-01-01,0,,IE-018_context_surface_no_condition_claim,foundation_a_uat_seeded_condition_candidate,withheld,false,admitted_read_only_condition_posture
condobs_estate_surface_55e61141c8f984e384f6,estate_surface_55e61141c8f984e384f6,manor_hx_23757,Manor of Reedminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_e95fe039b731133d90a3,estate_surface_e95fe039b731133d90a3,manor_hx_23757,Manor of Reedminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_e729c023e8dbe1deb9b0,estate_surface_e729c023e8dbe1deb9b0,manor_hx_23757,Manor of Reedminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-004,Field System & Rotation,operational_adequacy,worn,1120-01-01,1,manorop_recon_repair_0232_estate_surface_e729c023e8dbe1deb9b0,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_a1e87863dc3049d149b0,estate_surface_a1e87863dc3049d149b0,manor_hx_23757,Manor of Reedminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_bc389ee0c540298f6fb7,estate_surface_bc389ee0c540298f6fb7,manor_hx_23761,Manor of Reedworth,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_053c82f831ec8264130c,estate_surface_053c82f831ec8264130c,manor_hx_23761,Manor of Reedworth,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_9dac9ff6f80c2730493d,estate_surface_9dac9ff6f80c2730493d,manor_hx_23761,Manor of Reedworth,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_94b87bd547086e22d5be,estate_surface_94b87bd547086e22d5be,manor_hx_23761,Manor of Reedworth,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_339f861189108313fe58,estate_surface_339f861189108313fe58,manor_hx_23761,Manor of Reedworth,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_cd86532f906f6c7ef59c,estate_surface_cd86532f906f6c7ef59c,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_fface8f2c3ff869afda7,estate_surface_fface8f2c3ff869afda7,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_33674fae1f231cd2e3b4,estate_surface_33674fae1f231cd2e3b4,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_490feae1cf3d114bd09a,estate_surface_490feae1cf3d114bd09a,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-004,Field System & Rotation,operational_adequacy,sound,1120-01-01,1,manorop_recon_repair_0450_estate_surface_490feae1cf3d114bd09a,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_8ffbc753f70d32c31a8d,estate_surface_8ffbc753f70d32c31a8d,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_7574a3dece7959265203,estate_surface_7574a3dece7959265203,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_b234ee3c44aef9f65351,estate_surface_b234ee3c44aef9f65351,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,repairing,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_3fd4722b34e51ab52a75,estate_surface_3fd4722b34e51ab52a75,manor_hx_24043,Manor of Reedcote,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_a223184024be8e695dee,estate_surface_a223184024be8e695dee,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_56a569fe55f1eadfceef,estate_surface_56a569fe55f1eadfceef,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_24fde1cb589ce8d78038,estate_surface_24fde1cb589ce8d78038,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_1e87de067d8fa300e2e3,estate_surface_1e87de067d8fa300e2e3,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-004,Field System & Rotation,operational_adequacy,sound,1120-01-01,1,manorop_recon_repair_0146_estate_surface_1e87de067d8fa300e2e3,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_5fc7e0cdd09b04ab364b,estate_surface_5fc7e0cdd09b04ab364b,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,impaired,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_2a1d471b4149cbf18f3c,estate_surface_2a1d471b4149cbf18f3c,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_a2c5afa216393b387e7e,estate_surface_a2c5afa216393b387e7e,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_c0edfc50cbc4a2fe776b,estate_surface_c0edfc50cbc4a2fe776b,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_3c2a420fb8cb84802f0b,estate_surface_3c2a420fb8cb84802f0b,manor_hx_24326,Manor of Cairnbrook,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-018,Special Estate Assets,context_only,context_only_unknown,1120-01-01,0,,IE-018_context_surface_no_condition_claim,foundation_a_uat_seeded_condition_candidate,withheld,false,admitted_read_only_condition_posture
condobs_estate_surface_fde616204a0d2ec3bf28,estate_surface_fde616204a0d2ec3bf28,manor_hx_25163,Manor of Withychapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_0f3da3b267320ef9df65,estate_surface_0f3da3b267320ef9df65,manor_hx_25163,Manor of Withychapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
