manor_id,seat_hex_id,county_id,primary_role,seat_roles,seat_archetype,hex_count,total_net_productive_capacity,avg_water_access_score,avg_buildability_score,route_access_score,route_degree,territorial_degree,estimated_peasant_households,manor_size_class,capacity_quantile_band,holding_id,holding_type,holding_tier,bishopric_id,archbishopric_id,immediate_lord_actor_id,superior_lord_actor_id,holder_actor_id,holder_actor_type,church_holder_kind,tenure_basis,service_basis,default_succession_incidents,forest_overlay_status,vacancy_rule_family,is_elite,was_repaired,was_merged,was_split,residual_share
manor_hx_29933,hx_29933,c_6,,,ordinary,15,13.0399,0.35,0.96,0.3593,6,7,21,medium,middle,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_30217,hx_30217,c_6,,,ordinary,16,14.1634,0.4219,0.96,0.2823,5,5,30,medium,middle,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_30260,hx_30260,c_1,abbey_site,abbey_site,elite,4,2.5826,0.9375,0.525,0.4075,2,2,9,small,bottom,church_fief_hx_30260,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_abbey_hx_30260,actor_crown,actor_abbey_hx_30260,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_30262,hx_30262,c_1,baronial_seat,baronial_seat,elite,4,2.9528,1,0.61,0.3566,1,2,11,small,bottom,barony_hx_30262,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_30262,actor_crown,actor_baron_hx_30262,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_30491,hx_30491,c_6,,,ordinary,110,67.4226,0.3143,0.6464,0.2823,5,5,150,large,top,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_30535,hx_30535,c_1,,,ordinary,56,28.8557,0.8839,0.4429,0.4668,7,7,44,medium,top,barony_hx_29412,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_29412,actor_crown,actor_baron_hx_29412,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_30811,hx_30811,c_1,,,ordinary,62,36.0363,0.8858,0.5013,0.4668,10,10,30,medium,top,barony_hx_31093,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_31093,actor_crown,actor_baron_hx_31093,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,true,
manor_hx_31061,hx_31061,c_6,,,ordinary,66,40.633,0.7096,0.5812,0.1796,4,6,80,large,top,barony_hx_34437,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_34437,actor_crown,actor_baron_hx_34437,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_31093,hx_31093,c_1,baronial_seat,baronial_seat,elite,4,3.723,0.625,0.96,0.5386,3,3,8,small,bottom,barony_hx_31093,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_31093,actor_crown,actor_baron_hx_31093,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_31094,hx_31094,c_1,county_seat,county_seat|bishop_seat|market_town,elite,11,10.0548,0.5758,0.96,0.5745,4,4,9,small,middle,church_fief_hx_31094,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_bishopric_hx_31094,actor_crown,actor_bishopric_hx_31094,bishopric,bishopric,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_31099,hx_31099,c_1,,,ordinary,38,24.8846,0.807,0.6053,0.395,5,6,56,medium,top,barony_hx_30262,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_30262,actor_crown,actor_baron_hx_30262,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_31338,hx_31338,c_6,,,ordinary,109,65.0495,0.7087,0.5593,0.231,7,8,132,large,top,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_31643,hx_31643,c_2,abbey_site,abbey_site,elite,4,2.2582,0.8125,0.5,0.5353,3,3,9,small,bottom,church_fief_hx_31643,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_abbey_hx_31643,actor_crown,actor_abbey_hx_31643,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_31655,hx_31655,c_1,,,ordinary,20,17.5872,0.3958,0.96,0.5027,9,9,34,medium,middle,barony_hx_32219,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_32219,actor_crown,actor_baron_hx_32219,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_31932,hx_31932,c_1,,,ordinary,13,10.9762,0.641,0.8538,0.395,5,5,52,medium,middle,barony_hx_31093,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_31093,actor_crown,actor_baron_hx_31093,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_32204,hx_32204,c_2,baronial_seat,baronial_seat,elite,4,3.2831,0.5625,0.845,0.6176,3,4,8,small,bottom,barony_hx_32204,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_32204,actor_crown,actor_baron_hx_32204,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_32209,hx_32209,c_2,,,ordinary,78,39.1673,0.8483,0.4285,0.4961,9,10,107,large,top,church_fief_hx_32485,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_bishopric_hx_32485,actor_crown,actor_bishopric_hx_32485,bishopric,bishopric,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,false,
manor_hx_32219,hx_32219,c_1,baronial_seat,baronial_seat,elite,4,3.6288,0.5208,0.96,0.4438,3,3,12,small,bottom,barony_hx_32219,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_32219,actor_crown,actor_baron_hx_32219,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_32221,hx_32221,c_1,,,ordinary,23,17.7074,0.7355,0.7591,0.3883,5,5,49,medium,middle,barony_hx_32219,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_32219,actor_crown,actor_baron_hx_32219,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_32475,hx_32475,c_2,baronial_seat,baronial_seat,elite,4,2.2165,0.9584,0.41,0.4094,1,1,8,small,bottom,barony_hx_32475,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_32475,actor_crown,actor_baron_hx_32475,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_32485,hx_32485,c_2,county_seat,county_seat|bishop_seat|market_town,elite,9,8.1045,0.4907,0.96,0.6588,5,6,10,small,middle,church_fief_hx_32485,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_bishopric_hx_32485,actor_crown,actor_bishopric_hx_32485,bishopric,bishopric,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_32760,hx_32760,c_2,abbey_site,abbey_site,elite,4,2.157,0.7084,0.5,0.5955,3,3,12,small,bottom,church_fief_hx_32760,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_abbey_hx_32760,actor_crown,actor_abbey_hx_32760,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_32768,hx_32768,c_2,,,ordinary,9,7.8523,0.5556,0.9089,0.5353,5,4,11,small,middle,barony_hx_32770,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_32770,actor_crown,actor_baron_hx_32770,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,true,false,false,
manor_hx_32770,hx_32770,c_2,baronial_seat,baronial_seat,elite,4,3.5728,0.4584,0.96,0.5724,4,4,9,small,bottom,barony_hx_32770,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_32770,actor_crown,actor_baron_hx_32770,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_32802,hx_32802,c_3,baronial_seat,baronial_seat,elite,4,2.5783,0.8542,0.615,0.4012,4,4,12,small,bottom,barony_hx_32802,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_32802,actor_crown,actor_baron_hx_32802,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_33050,hx_33050,c_2,abbey_site,abbey_site,elite,4,3.4804,0.3541,0.96,0.6106,4,5,10,small,bottom,church_fief_hx_33050,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_abbey_hx_33050,actor_crown,actor_abbey_hx_33050,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_33053,hx_33053,c_2,,,ordinary,23,19.5732,0.2662,0.96,0.4961,7,7,50,medium,top,barony_hx_32770,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_32770,actor_crown,actor_baron_hx_32770,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_33083,hx_33083,c_3,abbey_site,abbey_site,elite,4,3.7208,0.7916,0.96,0.4413,3,3,13,small,bottom,church_fief_hx_33083,church_fief,direct,bishopric_hx_34487,archbishopric_01,actor_abbey_hx_33083,actor_crown,actor_abbey_hx_33083,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_33325,hx_33325,c_2,,,ordinary,83,43.6098,0.7741,0.4827,0.5353,11,11,106,large,top,church_fief_hx_32485,church_fief,direct,bishopric_hx_32485,archbishopric_02,actor_bishopric_hx_32485,actor_crown,actor_bishopric_hx_32485,bishopric,bishopric,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,false,
manor_hx_33329,hx_33329,c_2,,,ordinary,23,18.9555,0.1426,0.96,0.5343,7,7,39,medium,middle,barony_hx_32770,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_32770,actor_crown,actor_baron_hx_32770,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_33338,hx_33338,c_1,,,ordinary,21,18.3423,0.369,0.96,0.3924,7,9,25,medium,middle,barony_hx_32219,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_32219,actor_crown,actor_baron_hx_32219,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_33344,hx_33344,c_1,,,ordinary,35,24.0943,0.6167,0.6709,0.3051,2,3,36,medium,top,barony_hx_32219,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_32219,actor_crown,actor_baron_hx_32219,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_33645,hx_33645,c_3,,,ordinary,9,8.3647,0.7315,0.96,0.5215,5,5,19,small,middle,barony_hx_32802,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_32802,actor_crown,actor_baron_hx_32802,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,true,false,false,
manor_hx_33878,hx_33878,c_2,,,ordinary,90,45.7721,0.8389,0.4324,0.4011,10,10,114,large,top,church_fief_hx_34157,church_fief,direct,bishopric_hx_35003,archbishopric_02,actor_abbey_hx_34157,actor_crown,actor_abbey_hx_34157,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,false,
manor_hx_33886,hx_33886,c_2,baronial_seat,baronial_seat,elite,4,3.4256,0.2916,0.96,0.6098,2,2,16,small,bottom,barony_hx_33886,barony,mesne,bishopric_hx_32485,archbishopric_02,actor_baron_hx_33886,actor_crown,actor_baron_hx_33886,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_33900,hx_33900,c_1,abbey_site,abbey_site,elite,4,3.7041,0.6042,0.96,0.4485,4,4,8,small,bottom,church_fief_hx_33900,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_abbey_hx_33900,actor_crown,actor_abbey_hx_33900,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_33915,hx_33915,c_5,abbey_site,abbey_site,elite,4,3.6497,0.7292,0.96,0.4375,1,1,9,small,bottom,church_fief_hx_33915,church_fief,direct,bishopric_hx_34487,archbishopric_01,actor_abbey_hx_33915,actor_crown,actor_abbey_hx_33915,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_34157,hx_34157,c_2,abbey_site,abbey_site,elite,4,3.632,0.625,0.96,0.3646,3,3,15,small,bottom,church_fief_hx_34157,church_fief,direct,bishopric_hx_35003,archbishopric_02,actor_abbey_hx_34157,actor_crown,actor_abbey_hx_34157,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_34162,hx_34162,c_2,,,ordinary,12,9.3322,0.5278,0.8067,0.474,5,5,14,small,middle,barony_hx_33886,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_33886,actor_crown,actor_baron_hx_33886,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34181,hx_34181,c_2,baronial_seat,baronial_seat,elite,4,3.8183,0.7292,0.96,0.4205,4,4,12,small,middle,barony_hx_34181,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_34181,actor_crown,actor_baron_hx_34181,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_34183,hx_34183,c_2,,,ordinary,17,13.855,0.7206,0.7976,0.3644,6,6,33,medium,middle,barony_hx_34181,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_34181,actor_crown,actor_baron_hx_34181,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34196,hx_34196,c_5,,,ordinary,15,11.199,0.6722,0.7453,0.4667,3,4,35,medium,middle,barony_hx_34476,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_34476,actor_crown,actor_baron_hx_34476,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34201,hx_34201,c_3,baronial_seat,baronial_seat,elite,4,3.7642,0.7708,0.96,0.5175,2,4,9,small,bottom,barony_hx_34201,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_34201,actor_crown,actor_baron_hx_34201,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_34209,hx_34209,c_3,,,ordinary,22,11.3912,0.8788,0.4564,0.5215,7,7,36,medium,middle,barony_hx_34488,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_34488,actor_crown,actor_baron_hx_34488,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34402,hx_34402,c_8,,,ordinary,80,47.9215,0.1859,0.6825,0.3699,4,5,117,large,top,barony_hx_34404,barony,mesne,bishopric_hx_39744,archbishopric_02,actor_baron_hx_34404,actor_crown,actor_baron_hx_34404,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34404,hx_34404,c_8,baronial_seat,baronial_seat,elite,4,3.4804,0.3541,0.96,0.4227,3,3,12,small,bottom,barony_hx_34404,barony,mesne,bishopric_hx_39744,archbishopric_02,actor_baron_hx_34404,actor_crown,actor_baron_hx_34404,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_34437,hx_34437,c_6,baronial_seat,baronial_seat,elite,4,3.7266,0.6459,0.96,0.3646,4,4,11,small,bottom,barony_hx_34437,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_34437,actor_crown,actor_baron_hx_34437,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_34446,hx_34446,c_2,,,ordinary,52,42.4158,0.1032,0.96,0.5336,8,8,110,large,top,barony_hx_33886,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_33886,actor_crown,actor_baron_hx_33886,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34460,hx_34460,c_2,,,ordinary,11,10.1357,0.5833,0.96,0.3924,6,6,10,small,middle,barony_hx_34181,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_34181,actor_crown,actor_baron_hx_34181,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_34476,hx_34476,c_5,baronial_seat,baronial_seat,elite,4,3.8454,0.7917,0.96,0.4375,3,3,10,small,middle,barony_hx_34476,barony,mesne,bishopric_hx_34487,archbishopric_01,actor_baron_hx_34476,actor_crown,actor_baron_hx_34476,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
