site_id,hex_id,assigned_roles,county_id,market_town_score,county_seat_score,royal_seat_score,royal_castle_score,bishop_seat_score,abbey_site_score,baronial_seat_score,route_centrality_score,crossing_score,defensibility_score,lordship_attraction_score
manor_hx_26236,hx_26236,abbey_site,c_10,0.5902,0.6952,0.5808,0.5084,0.7029,0.7735,0.6581,0.218,0.7941,0.2633,0.5944
manor_hx_26561,hx_26561,abbey_site,c_14,0.5566,0.5924,0.4674,0.2921,0.6716,0.7533,0.55,0.357,0,0.2367,0.4131
manor_hx_26808,hx_26808,abbey_site,c_10,0.9018,0.8425,0.6305,0.2846,0.9591,0.8181,0.7676,0.4184,0,0.08,0.5102
manor_hx_27394,hx_27394,abbey_site,c_3,0.921,0.8653,0.6567,0.298,0.9812,0.8275,0.7827,0.4861,0,0.08,0.5287
manor_hx_27395,hx_27395,baronial_seat,c_3,0.8529,0.7726,0.6184,0.3112,0.8309,0.6921,0.6524,0.5651,0,0.08,0.5393
manor_hx_28247,hx_28247,,c_14,0.7973,0.7368,0.649,0.4186,0.7752,0.6482,0.6521,0.6303,0.4191,0.08,0.6126
manor_hx_28499,hx_28499,baronial_seat,c_3,1,0.9861,0.7379,0.3094,1,0.8234,0.858,0.6871,0,0.08,0.5312
manor_hx_28525,hx_28525,county_seat|county_castle|bishop_seat|market_town,c_14,1,1,0.8287,0.495,1,0.8443,0.9561,0.7757,0.583,0.18,0.6567
manor_hx_28526,hx_28526,baronial_seat,c_14,0.9428,0.9092,0.7787,0.4938,0.9061,0.6898,0.7785,0.7272,0.583,0.18,0.6563
manor_hx_28774,hx_28774,baronial_seat,c_10,0.9271,0.8543,0.6541,0.2898,0.9675,0.7914,0.7785,0.5351,0,0.08,0.5118
manor_hx_28784,hx_28784,county_seat|bishop_seat|market_town,c_3,1,1,0.7543,0.3341,1,0.8705,0.8795,0.7347,0,0.08,0.5628
manor_hx_28785,hx_28785,baronial_seat,c_3,0.9395,0.8611,0.685,0.3258,0.9052,0.6986,0.6999,0.6888,0,0.08,0.5536
manor_hx_28801,hx_28801,abbey_site,c_3,1,1,0.8397,0.4779,1,0.8031,0.9615,0.9041,0.5889,0.13,0.6459
manor_hx_29082,hx_29082,baronial_seat,c_3,0.92,0.8897,0.8139,0.622,0.8331,0.5296,0.7924,0.8476,0.7546,0.57,0.6297
manor_hx_29363,hx_29363,,c_3,0.8432,0.809,0.791,0.6986,0.7485,0.4847,0.7809,0.7673,0.9202,0.72,0.6632
manor_hx_29372,hx_29372,baronial_seat,c_14,0.793,0.8457,0.7427,0.6556,0.8037,0.6209,0.7597,0.5406,0.735,0.67,0.6434
manor_hx_29632,hx_29632,abbey_site,c_3,0.9231,0.8846,0.6627,0.3108,1,0.8665,0.7909,0.4742,0,0.08,0.5438
manor_hx_29651,hx_29651,,c_14,0.7841,0.8216,0.733,0.658,0.7749,0.58,0.7563,0.5414,0.735,0.72,0.6301
manor_hx_29652,hx_29652,abbey_site,c_14,0.9895,1,0.8577,0.6999,1,0.7693,0.9553,0.531,0.8963,0.72,0.6668
manor_hx_29660,hx_29660,abbey_site,c_9,0.783,0.771,0.6444,0.406,0.8496,0.829,0.6453,0.7477,0,0.13,0.626
manor_hx_29912,hx_29912,baronial_seat,c_3,0.8214,0.7664,0.5968,0.313,0.8305,0.7368,0.6443,0.4446,0,0.08,0.5469
manor_hx_30176,hx_30176,abbey_site,c_10,0.9032,0.8442,0.6322,0.2856,0.9607,0.8188,0.7686,0.4237,0,0.08,0.5113
manor_hx_30185,hx_30185,abbey_site,c_3,1,1,0.7499,0.3518,1,0.9435,0.8886,0.6556,0,0.08,0.5913
manor_hx_30209,hx_30209,baronial_seat,c_14,0.6378,0.6278,0.6249,0.6231,0.6017,0.4659,0.6641,0.5414,0.7232,0.72,0.5854
manor_hx_30217,hx_30217,,c_14,0.8567,0.8868,0.8355,0.7534,0.8386,0.6147,0.8153,0.7864,0.92,0.72,0.7304
manor_hx_30218,hx_30218,baronial_seat,c_14,0.9254,0.9742,0.8653,0.7022,0.9307,0.6765,0.8364,0.8628,0.7544,0.62,0.7132
manor_hx_30219,hx_30219,county_seat|county_castle|bishop_seat|market_town,c_9,1,1,0.8616,0.5622,1,0.9621,1,0.9203,0.5888,0.18,0.7403
manor_hx_30456,hx_30456,baronial_seat,c_10,0.8084,0.7206,0.5646,0.2807,0.7796,0.6716,0.6198,0.3972,0,0.08,0.5055
manor_hx_30466,hx_30466,baronial_seat,c_3,0.9265,0.8937,0.6923,0.3521,0.9471,0.7908,0.7137,0.6146,0,0.08,0.5931
manor_hx_31047,hx_31047,,c_14,0.7478,0.6898,0.6929,0.6442,0.6542,0.4376,0.6995,0.6823,0.7493,0.72,0.6112
manor_hx_31054,hx_31054,,c_14,0.6319,0.6209,0.6178,0.619,0.5949,0.4632,0.6598,0.5188,0.7232,0.72,0.5809
manor_hx_31055,hx_31055,baronial_seat,c_14,0.7119,0.7183,0.6895,0.6401,0.6961,0.5537,0.7615,0.4153,0.882,0.72,0.6107
manor_hx_31063,hx_31063,,c_14,0.8627,0.7986,0.6843,0.4154,0.8529,0.7173,0.6818,0.7017,0.2585,0.08,0.6363
manor_hx_31067,hx_31067,baronial_seat,c_9,0.9098,0.8645,0.6673,0.3334,0.9163,0.7635,0.6966,0.5553,0,0.08,0.5703
manor_hx_31347,hx_31347,abbey_site,c_14,1,1,0.7381,0.3324,1,0.9158,0.871,0.5923,0,0.08,0.5678
manor_hx_31608,hx_31608,baronial_seat,c_14,0.8966,0.866,0.7905,0.6095,0.8101,0.5196,0.7768,0.7873,0.7493,0.57,0.6152
manor_hx_31846,hx_31846,abbey_site,c_10,0.5272,0.6081,0.4922,0.3354,0.6694,0.7674,0.5468,0.3467,0.1356,0.2367,0.4477
manor_hx_31888,hx_31888,county_seat|county_castle|bishop_seat|market_town,c_14,1,1,0.828,0.4609,1,0.7828,0.9432,0.8398,0.5848,0.13,0.6256
manor_hx_31902,hx_31902,royal_castle,c_14,0.8974,0.9126,0.8702,0.7648,0.8601,0.5945,0.8356,0.9356,0.9233,0.72,0.738
manor_hx_31904,hx_31904,baronial_seat,c_14,1,1,0.8367,0.5031,1,0.8965,0.9764,0.8199,0.5909,0.13,0.6846
manor_hx_32147,hx_32147,baronial_seat,c_3,0.8194,0.7748,0.5921,0.3159,0.843,0.774,0.648,0.3688,0,0.08,0.557
manor_hx_32148,hx_32148,county_seat|bishop_seat|market_town,c_3,0.897,0.8896,0.6503,0.3175,1,0.9305,0.7869,0.325,0,0.08,0.5642
manor_hx_32149,hx_32149,abbey_site,c_3,0.8158,0.7823,0.5952,0.3235,0.8531,0.7901,0.6483,0.3688,0,0.08,0.5632
manor_hx_32157,hx_32157,baronial_seat,c_3,0.8263,0.7623,0.5978,0.309,0.8246,0.7194,0.6431,0.4665,0,0.08,0.5405
manor_hx_32182,hx_32182,,c_14,0.8201,0.7997,0.7851,0.7099,0.7694,0.536,0.7621,0.8771,0.7571,0.72,0.6896
manor_hx_32438,hx_32438,abbey_site,c_11,0.9258,0.8793,0.6629,0.307,0.997,0.8484,0.789,0.4976,0,0.08,0.5372
manor_hx_32458,hx_32458,,c_14,0.6791,0.6335,0.6638,0.6514,0.5904,0.438,0.6779,0.4271,0.9096,0.72,0.632
manor_hx_32691,hx_32691,county_seat|bishop_seat|market_town,c_4,1,1,0.7586,0.3448,1,0.8867,0.8811,0.7544,0,0.08,0.5738
manor_hx_32692,hx_32692,baronial_seat,c_4,0.9388,0.8736,0.6939,0.3368,0.9193,0.7185,0.7059,0.7072,0,0.08,0.5666
manor_hx_32696,hx_32696,abbey_site,c_4,0.916,0.8607,0.6556,0.2957,0.9761,0.8258,0.7805,0.4669,0,0.08,0.5307
manor_hx_32734,hx_32734,baronial_seat,c_14,0.8977,0.7994,0.7251,0.4622,0.7998,0.5709,0.7225,0.7486,0.5848,0.18,0.6129
manor_hx_33013,hx_33013,abbey_site,c_14,1,1,0.809,0.4105,1,0.7902,0.9247,0.8555,0.4203,0.08,0.5997
manor_hx_33020,hx_33020,baronial_seat,c_14,0.8572,0.798,0.6976,0.4601,0.8057,0.6438,0.72,0.5847,0.5821,0.18,0.6184
manor_hx_33289,hx_33289,baronial_seat,c_14,1,1,0.7764,0.3572,1,0.7756,0.8823,0.7628,0.2537,0.08,0.554
manor_hx_33301,hx_33301,county_seat|market_town,c_14,0.9618,0.9173,0.7376,0.3859,0.9833,0.8044,0.8272,0.5083,0.4184,0.08,0.5922
manor_hx_33316,hx_33316,abbey_site,c_1,0.734,0.6766,0.5164,0.2707,0.8046,0.7759,0.6622,0.2517,0,0.08,0.5008
manor_hx_33587,hx_33587,baronial_seat,c_1,0.86,0.7799,0.6256,0.3149,0.838,0.6952,0.6571,0.5847,0,0.08,0.5437
manor_hx_33844,hx_33844,county_seat|bishop_seat|market_town,c_11,1,1,0.7995,0.4249,1,0.7678,0.9059,0.6024,0.5889,0.13,0.5944
manor_hx_33867,hx_33867,abbey_site,c_14,0.9152,0.8693,0.6618,0.3017,0.9858,0.8451,0.7849,0.4505,0,0.08,0.5434
manor_hx_34406,hx_34406,baronial_seat,c_11,0.8359,0.7992,0.7779,0.6925,0.7394,0.4808,0.7742,0.7391,0.9202,0.72,0.6528
manor_hx_34411,hx_34411,,c_11,0.6656,0.5862,0.6388,0.6511,0.5511,0.3861,0.6518,0.5215,0.9061,0.72,0.613
manor_hx_34416,hx_34416,baronial_seat,c_14,1,1,0.8047,0.4223,1,0.7574,0.904,0.6065,0.5859,0.13,0.5962
manor_hx_34658,hx_34658,baronial_seat,c_4,0.9496,0.8894,0.6848,0.3113,1,0.821,0.7989,0.609,0,0.08,0.5377
manor_hx_34686,hx_34686,,c_11,0.7641,0.7019,0.7033,0.6479,0.666,0.4438,0.7083,0.6929,0.7546,0.72,0.6171
manor_hx_34976,hx_34976,,c_14,0.842,0.8097,0.7897,0.7,0.75,0.4843,0.7801,0.7878,0.9155,0.72,0.6604
manor_hx_36060,hx_36060,abbey_site,c_4,0.9345,0.8811,0.6706,0.3075,0.9971,0.8333,0.7917,0.5443,0,0.08,0.5354
manor_hx_36090,hx_36090,,c_11,0.6962,0.6335,0.6487,0.6465,0.5915,0.4231,0.6772,0.473,0.9141,0.72,0.6019
manor_hx_36340,hx_36340,baronial_seat,c_4,0.8399,0.7566,0.6015,0.3013,0.8151,0.6859,0.6424,0.5103,0,0.08,0.5286
manor_hx_36400,hx_36400,baronial_seat,c_1,0.7729,0.7453,0.5786,0.3175,0.811,0.7383,0.6269,0.4384,0,0.08,0.546
manor_hx_36409,hx_36409,abbey_site,c_1,0.9418,0.9226,0.6902,0.3341,1,0.9136,0.812,0.513,0,0.08,0.5745
manor_hx_36410,hx_36410,baronial_seat,c_1,0.8456,0.7971,0.6208,0.3282,0.8629,0.7665,0.6631,0.4809,0,0.08,0.5681
manor_hx_36650,hx_36650,baronial_seat,c_11,0.8389,0.7595,0.658,0.4158,0.7666,0.614,0.6902,0.4801,0.585,0.13,0.5813
manor_hx_36662,hx_36662,,c_0,0.7558,0.7112,0.6858,0.6216,0.6763,0.4847,0.7046,0.5752,0.7583,0.67,0.6038
manor_hx_36680,hx_36680,abbey_site,c_1,0.886,0.8698,0.6516,0.3122,0.9856,0.869,0.7746,0.4378,0,0.08,0.5479
manor_hx_36930,hx_36930,abbey_site,c_11,0.9678,0.9075,0.7226,0.3763,0.9746,0.7864,0.8227,0.5121,0.4205,0.08,0.5692
manor_hx_36935,hx_36935,,c_11,0.6604,0.6003,0.591,0.5382,0.6095,0.4395,0.6219,0.6902,0.2574,0.72,0.5341
manor_hx_36943,hx_36943,baronial_seat,c_0,0.8036,0.7667,0.7072,0.5856,0.7258,0.5177,0.722,0.5752,0.7583,0.57,0.592
manor_hx_36944,hx_36944,abbey_site,c_0,0.9703,0.9101,0.7454,0.4185,0.9546,0.7603,0.8385,0.4751,0.5919,0.13,0.5915
manor_hx_37499,hx_37499,baronial_seat,c_11,0.8817,0.8538,0.8348,0.7251,0.7933,0.5021,0.8083,0.9203,0.9192,0.72,0.6886
manor_hx_37500,hx_37500,,c_0,0.807,0.753,0.7566,0.6785,0.7164,0.4637,0.7402,0.8628,0.7537,0.72,0.6506
manor_hx_37811,hx_37811,county_seat|county_castle|market_town,c_1,1,1,0.8112,0.4963,1,0.9563,0.9633,0.6016,0.5926,0.13,0.6876
manor_hx_38026,hx_38026,abbey_site,c_4,0.7418,0.6677,0.5181,0.2637,0.7927,0.741,0.6599,0.3016,0,0.08,0.4882
manor_hx_38059,hx_38059,county_seat|county_castle|market_town,c_11,1,1,0.8261,0.4352,1,0.7882,0.9154,0.5727,0.5883,0.13,0.6367
manor_hx_38083,hx_38083,baronial_seat,c_1,1,1,0.8131,0.4636,1,0.8375,0.9363,0.7014,0.5837,0.13,0.6356
manor_hx_38092,hx_38092,baronial_seat,c_1,0.9358,0.9436,0.7781,0.5153,0.9516,0.8019,0.7945,0.564,0.5926,0.18,0.6964
manor_hx_38371,hx_38371,,c_1,0.8171,0.8539,0.7867,0.7345,0.8103,0.6333,0.7909,0.5903,0.9259,0.72,0.7102
manor_hx_38373,hx_38373,abbey_site,c_1,0.8632,0.8544,0.725,0.5077,0.8744,0.7602,0.7436,0.5264,0.5926,0.18,0.6854
manor_hx_38630,hx_38630,,c_0,0.6863,0.4903,0.4318,0.2225,0.5647,0.4753,0.4909,0.2969,0,0.08,0.4312
manor_hx_38645,hx_38645,,c_1,0.8241,0.8056,0.7778,0.7006,0.7492,0.5053,0.7736,0.7302,0.9121,0.72,0.6622
manor_hx_39459,hx_39459,baronial_seat,c_0,0.8467,0.7722,0.6117,0.3108,0.8325,0.7084,0.6511,0.5177,0,0.08,0.5417
manor_hx_39482,hx_39482,,c_0,0.7431,0.6819,0.6946,0.6511,0.65,0.4396,0.6987,0.7121,0.7546,0.72,0.6194
manor_hx_39740,hx_39740,abbey_site,c_0,0.9295,0.8922,0.6705,0.3153,1,0.8694,0.7956,0.4987,0,0.08,0.5487
manor_hx_39760,hx_39760,county_seat|market_town,c_0,0.9703,0.8938,0.7572,0.4084,0.9319,0.7145,0.8351,0.5083,0.5889,0.13,0.5928
manor_hx_39762,hx_39762,baronial_seat,c_0,0.8053,0.7651,0.7627,0.6962,0.7131,0.4758,0.7592,0.7596,0.9202,0.72,0.6569
manor_hx_39770,hx_39770,,c_1,0.6253,0.6257,0.6131,0.616,0.6201,0.5031,0.6448,0.5625,0.5649,0.72,0.5937
manor_hx_40049,hx_40049,baronial_seat,c_1,0.7022,0.7189,0.6931,0.6424,0.6971,0.5693,0.7612,0.3676,0.8826,0.72,0.6252
manor_hx_40627,hx_40627,abbey_site,c_6,0.6767,0.664,0.5178,0.3005,0.7782,0.8,0.6403,0.3813,0,0.1133,0.5051
manor_hx_40895,hx_40895,,c_1,0.6386,0.691,0.6646,0.5791,0.7157,0.6264,0.7246,0.3892,0.4234,0.72,0.6305
manor_hx_41168,hx_41168,,c_0,0.7021,0.6383,0.6573,0.6497,0.5954,0.4165,0.6808,0.5192,0.9103,0.72,0.6044
manor_hx_41409,hx_41409,abbey_site,c_5,0.8941,0.8334,0.621,0.2792,0.9501,0.8146,0.7619,0.3886,0,0.08,0.5043
manor_hx_41728,hx_41728,baronial_seat,c_2,0.8324,0.7322,0.6446,0.3985,0.7349,0.5627,0.6763,0.5,0.5826,0.13,0.5563
manor_hx_41736,hx_41736,royal_seat|royal_castle|county_seat|market_town,c_0,0.9088,0.9185,0.8824,0.7678,0.8641,0.5811,0.8411,1,0.9204,0.72,0.7397
manor_hx_41742,hx_41742,baronial_seat,c_1,0.8135,0.7359,0.6007,0.3036,0.7899,0.6392,0.629,0.625,0,0.08,0.5182
manor_hx_41743,hx_41743,abbey_site,c_6,0.9119,0.8593,0.665,0.3039,0.9668,0.7839,0.7736,0.6255,0,0.08,0.5191
manor_hx_42008,hx_42008,abbey_site,c_2,0.943,0.8488,0.6821,0.3392,0.9106,0.7077,0.7915,0.4658,0.4187,0.08,0.5207
manor_hx_42017,hx_42017,baronial_seat,c_0,0.9482,0.9461,0.8584,0.6583,0.8939,0.5903,0.8222,0.9375,0.7547,0.57,0.6727
manor_hx_42028,hx_42028,baronial_seat,c_6,0.9179,0.8349,0.6398,0.2777,0.9467,0.768,0.768,0.5125,0,0.08,0.4963
manor_hx_42296,hx_42296,,c_0,0.8748,0.8303,0.7684,0.5848,0.8021,0.5314,0.74,0.875,0.5891,0.52,0.6175
manor_hx_42298,hx_42298,abbey_site,c_0,1,1,0.8507,0.4965,1,0.8316,0.9797,0.9617,0.5891,0.13,0.6689
manor_hx_42524,hx_42524,baronial_seat,c_5,0.9041,0.8102,0.6198,0.2624,0.9205,0.7426,0.7541,0.4722,0,0.08,0.4772
manor_hx_42536,hx_42536,baronial_seat,c_5,0.8419,0.7688,0.609,0.3101,0.8291,0.7065,0.6487,0.5151,0,0.08,0.5403
manor_hx_42816,hx_42816,abbey_site,c_5,0.9375,0.8836,0.673,0.3085,0.9998,0.8346,0.7936,0.5494,0,0.08,0.5369
manor_hx_42824,hx_42824,abbey_site,c_0,0.7426,0.6685,0.5184,0.2641,0.7936,0.7413,0.6603,0.3048,0,0.08,0.488
manor_hx_43929,hx_43929,abbey_site,c_5,0.9275,0.8803,0.6637,0.3072,0.9983,0.8492,0.79,0.4978,0,0.08,0.5377
manor_hx_43980,hx_43980,baronial_seat,c_2,0.9065,0.8094,0.6382,0.2628,0.9157,0.7267,0.7578,0.494,0,0.08,0.492
manor_hx_44210,hx_44210,baronial_seat,c_5,0.8257,0.762,0.5975,0.309,0.8242,0.7191,0.6428,0.4667,0,0.08,0.5404
manor_hx_44518,hx_44518,baronial_seat,c_2,0.892,0.7909,0.6107,0.2538,0.8969,0.7077,0.7418,0.4969,0,0.08,0.4617
manor_hx_45363,hx_45363,county_seat|market_town,c_2,1,1,0.7978,0.4188,1,0.757,0.9026,0.5798,0.5952,0.13,0.589
manor_hx_45365,hx_45365,baronial_seat,c_2,0.8469,0.8051,0.782,0.6931,0.7447,0.4845,0.7793,0.7273,0.93,0.72,0.6549
manor_hx_45371,hx_45371,abbey_site,c_2,1,1,0.7909,0.4168,1,0.7636,0.9016,0.6817,0.429,0.18,0.5779
manor_hx_45385,hx_45385,abbey_site,c_2,0.8924,0.8305,0.6178,0.277,0.9475,0.8138,0.7603,0.376,0,0.08,0.5022
manor_hx_45651,hx_45651,,c_2,0.8572,0.8105,0.7234,0.55,0.7669,0.5048,0.7333,0.6391,0.5969,0.57,0.5643
manor_hx_46211,hx_46211,baronial_seat,c_2,0.8156,0.7663,0.7412,0.6694,0.7063,0.4696,0.7554,0.5929,0.9326,0.72,0.6292
manor_hx_46773,hx_46773,county_seat|county_castle|market_town,c_2,1,1,0.7993,0.4287,1,0.7634,0.9121,0.6452,0.5969,0.13,0.5908
manor_hx_47021,hx_47021,abbey_site,c_5,0.7302,0.6624,0.5063,0.2611,0.7893,0.7548,0.655,0.2442,0,0.08,0.487
manor_hx_50398,hx_50398,abbey_site,c_13,0.8778,0.8048,0.5969,0.2612,0.9204,0.7879,0.7458,0.3329,0,0.08,0.4825
manor_hx_50986,hx_50986,baronial_seat,c_8,0.7323,0.6318,0.4979,0.2409,0.752,0.679,0.6418,0.3101,0,0.08,0.4553
manor_hx_51272,hx_51272,baronial_seat,c_8,0.7104,0.6164,0.4766,0.2333,0.7381,0.688,0.6298,0.2255,0,0.08,0.4485
manor_hx_52084,hx_52084,baronial_seat,c_13,0.9092,0.8503,0.6383,0.2887,0.9669,0.8216,0.7727,0.4405,0,0.08,0.5151
manor_hx_52929,hx_52929,abbey_site,c_13,0.9133,0.8636,0.6464,0.2973,0.9818,0.8427,0.7796,0.4434,0,0.08,0.5269
manor_hx_53210,hx_53210,baronial_seat,c_13,0.8174,0.7495,0.5836,0.3,0.812,0.7149,0.6353,0.4157,0,0.08,0.5313
manor_hx_54342,hx_54342,abbey_site,c_8,0.9008,0.8488,0.631,0.2885,0.9672,0.8369,0.7703,0.395,0,0.08,0.5172
manor_hx_54623,hx_54623,baronial_seat,c_8,0.8027,0.7337,0.5678,0.2916,0.7964,0.7083,0.6252,0.3703,0,0.08,0.5216
